scenario_id,model_id,status,resource_class,node,slurm_job_id,task_id,runtime_seconds,started_at,completed_at,error_message
swift_contained,weap_mena,skipped,cpu,quadro1,23199,0,,2026-04-23T13:50:37.174852+00:00,2026-04-23T13:50:37.175086+00:00,"Not yet implemented: WEAPAdapter.execute() requires a WEAPConfig. To integrate WEAP-MENA:
  1. Install WEAP from Models/Water/Install_WEAP.exe on a Windows host with a valid SEI licence.
  2. Build / acquire a WEAP-MENA study file (.weap).
  3. Configure 'weap_executable', 'study_path', and 'result_export_path' in configs/model_configs/weap_mena.yaml.
  4. Implement COM automation or subprocess invocation of weap.exe inside this method.
  5. Implement scenario-branch creation from the inputs dict.
  6. Parse exported CSV results in parse_outputs."
swift_contained,sahysmod,failed,cpu,quadro1,23199,1,0.007772422395646572,2026-04-23T13:50:38.044453+00:00,2026-04-23T13:50:38.052440+00:00,FileNotFoundError: [Errno 2] No such file or directory: 'Models/Water/SahysMod/SahysMod.exe'
prolonged_escalated,poles_jrc,failed,cpu,quadro1,23199,10,,2026-04-23T13:50:44.222082+00:00,2026-04-23T13:50:44.222326+00:00,"Validation failed: 'supply_loss_mbd' value 21.0 is outside plausible range [0, 20] mb/d; 'substitute_energy_availability' must be a numeric value"
prolonged_contained,temoa,failed,cpu,quadro1,23199,100,0.00014426559209823608,2026-04-23T13:51:47.681244+00:00,2026-04-23T13:51:47.681623+00:00,FileNotFoundError: TEMOA baseline DB not found: Models/Energy/TEMOA/data_files/utopia.sqlite. Vendor a baseline SQLite (e.g. utopia.sqlite) under Models/Energy/TEMOA/data_files/ or override TEMOAConfig.baseline_db_path.
swift_escalated,weap_mena,skipped,cpu,quadro1,23199,101,,2026-04-23T13:51:48.326137+00:00,2026-04-23T13:51:48.326386+00:00,"Not yet implemented: WEAPAdapter.execute() requires a WEAPConfig. To integrate WEAP-MENA:
  1. Install WEAP from Models/Water/Install_WEAP.exe on a Windows host with a valid SEI licence.
  2. Build / acquire a WEAP-MENA study file (.weap).
  3. Configure 'weap_executable', 'study_path', and 'result_export_path' in configs/model_configs/weap_mena.yaml.
  4. Implement COM automation or subprocess invocation of weap.exe inside this method.
  5. Implement scenario-branch creation from the inputs dict.
  6. Parse exported CSV results in parse_outputs."
swift_escalated,sahysmod,failed,cpu,quadro1,23199,102,0.0042756590992212296,2026-04-23T13:51:48.944665+00:00,2026-04-23T13:51:48.949158+00:00,FileNotFoundError: [Errno 2] No such file or directory: 'Models/Water/SahysMod/SahysMod.exe'
swift_contained,fed_oil,skipped,cpu,quadro1,23199,103,,2026-04-23T13:51:49.610514+00:00,2026-04-23T13:51:49.610745+00:00,"Not yet implemented: FedOilAdapter.execute() is not yet implemented. Integration requires: (1) the Baumeister-Hamilton SVAR model codebase (available from the authors' replication archives for AER 2019), (2) baseline macroeconomic time series from FRED (US CPI, GDP, federal funds rate, oil prices, industrial production), (3) a MATLAB or R execution environment with the required econometric packages, and (4) output parsers for IRF and FEVD tables covering GDP, CPI, federal funds rate, and unemployment responses."
swift_escalated,watergap2,skipped,cpu,quadro1,23199,104,,2026-04-23T13:51:50.751468+00:00,2026-04-23T13:51:50.751701+00:00,"Not yet implemented: WaterGAP2Adapter.execute() requires a WaterGAP2Config. To integrate WaterGAP2:
  1. Build the binary from the C++ sources at Models/Water/WaterGAP2-v2.2d/HydrologyFrankfurt-WaterGAP2-65f306b/source/ via CMake, OR obtain access to the Frankfurt WaterGAP2 web service.
  2. Stage global climate forcing NetCDFs (precipitation, temperature) under forcing_data_path.
  3. Configure the adapter via configs/model_configs/watergap2.yaml.
  4. Implement either subprocess invocation of the compiled binary or a REST client against the web service inside this method.
  5. Build a NetCDF damage mask from 'affected_grid_cells' and 'infrastructure_damage_index' and pass it to WaterGAP2.
  6. Parse gridded NetCDF outputs in parse_outputs."
swift_escalated,cwatm,skipped,cpu,quadro1,23199,105,,2026-04-23T13:51:51.379625+00:00,2026-04-23T13:51:51.379829+00:00,"Not yet implemented: CWatMAdapter.execute() requires a CWatMConfig. To integrate CWatM:
  1. git clone https://github.com/iiasa/CWatM into Models/Water/CWatM/.
  2. Install CWatM's Python deps (numpy, scipy, netCDF4, gdal, rasterio) into a venv.
  3. Configure cwatm_root, baseline_settings_path, data_path and python_executable in configs/model_configs/cwatm.yaml.
  4. Re-build the registry via build_default_registry(config_dir=...)."
swift_escalated,bornstein_krusell_rebelo,failed,cpu,quadro1,23199,106,0.00010557007044553757,2026-04-23T13:51:52.322106+00:00,2026-04-23T13:51:52.322403+00:00,FileNotFoundError: Dynare .mod file not found: Models/Oil/WorldEquilibriumOilModel/Replication Files/Section 5/supply_shocks_to_non_opec/dynare_codes/World_Economy_Cartel_nonopec_shocks.mod. Verify the section/mod_file configuration.
